"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2006","8.844","7.600","9.050","7.278","918.35K","17.39%"
"10/01/2006","7.534","5.606","7.929","5.460","914.72K","34.06%"
"09/01/2006","5.620","5.890","6.130","4.050","707.55K","-7.08%"
"08/01/2006","6.048","8.250","8.619","5.850","764.03K","-26.34%"
"07/01/2006","8.211","6.090","8.260","5.390","587.84K","34.52%"
"06/01/2006","6.104","6.420","7.330","5.810","677.74K","-4.39%"
"05/01/2006","6.384","6.533","7.133","5.750","663.17K","-2.61%"
"04/01/2006","6.555","7.200","8.280","6.490","674.39K","-9.08%"
"03/01/2006","7.210","6.714","7.562","6.450","589.16K","7.39%"
"02/01/2006","6.714","9.325","9.825","6.580","621.11K","-27.93%"
"01/01/2006","9.316","10.700","11.000","7.750","536.07K","-17.01%"
"12/01/2005","11.225","12.620","15.780","10.720","599.53K","-10.82%"
"11/01/2005","12.587","12.210","12.695","10.880","572.83K","3.13%"
"10/01/2005","12.205","13.802","14.750","12.140","557.32K","-12.33%"
"09/01/2005","13.921","11.419","14.600","10.608","591.60K","21.35%"
"08/01/2005","11.472","7.900","12.300","7.900","784.59K","45.49%"
"07/01/2005","7.885","6.980","8.290","6.949","631.27K","12.95%"
"06/01/2005","6.981","6.380","7.915","6.371","818.13K","9.44%"
"05/01/2005","6.379","6.520","6.840","6.030","612.90K","-3.13%"
"04/01/2005","6.585","7.650","7.904","6.550","669.42K","-13.96%"
"03/01/2005","7.653","6.721","7.740","6.550","676.99K","13.71%"
"02/01/2005","6.730","6.310","6.800","5.850","647.76K","6.47%"
"01/01/2005","6.321","5.949","6.805","5.710","653.23K","2.80%"
"12/01/2004","6.149","7.620","7.775","6.100","569.87K","-19.30%"
"11/01/2004","7.620","8.825","9.200","6.600","638.99K","-12.66%"
"10/01/2004","8.725","6.790","9.200","6.425","614.10K","28.40%"
"09/01/2004","6.795","5.060","7.230","4.520","761.44K","33.92%"
"08/01/2004","5.074","6.045","6.045","5.030","682.15K","-16.98%"
"07/01/2004","6.112","6.155","6.460","5.770","724.17K","-0.70%"
"06/01/2004","6.155","6.500","6.730","5.960","788.85K","-4.46%"
"05/01/2004","6.442","5.862","6.760","5.840","780.71K","9.89%"
"04/01/2004","5.862","5.900","6.030","5.460","672.95K","-1.20%"
"03/01/2004","5.933","5.350","5.950","5.200","702.78K","9.55%"
"02/01/2004","5.416","5.450","5.790","5.060","537.58K","0.35%"
"01/01/2004","5.397","6.320","7.630","5.350","541.07K","-12.80%"
"12/01/2003","6.189","4.890","7.550","4.870","742.87K","25.66%"
"11/01/2003","4.925","4.890","5.220","4.520","720.40K","0.65%"
"10/01/2003","4.893","4.830","5.800","4.400","914.89K","1.30%"
"09/01/2003","4.830","4.700","4.980","4.390","748.71K","2.09%"
"08/01/2003","4.731","4.715","5.380","4.615","660.80K","0.28%"
"07/01/2003","4.718","5.405","5.640","4.580","718.52K","-12.81%"
"06/01/2003","5.411","6.250","6.719","5.220","804.86K","-13.44%"
"05/01/2003","6.251","5.390","6.440","5.220","778.05K","16.08%"
"04/01/2003","5.385","5.075","5.830","4.865","637.47K","6.42%"
"03/01/2003","5.060","8.180","8.180","4.980","584.71K","-37.54%"
"02/01/2003","8.101","5.605","11.899","5.485","801.20K","44.53%"
"01/01/2003","5.605","4.900","5.850","4.850","950.49K","17.04%"
"12/01/2002","4.789","4.200","5.530","4.137","848.08K","14.02%"
"11/01/2002","4.200","4.160","4.400","3.740","809.37K","1.06%"
"10/01/2002","4.156","4.140","4.440","3.670","1.11M","0.43%"
"09/01/2002","4.138","3.250","4.200","3.100","960.89K","25.55%"
"08/01/2002","3.296","2.970","3.643","2.640","1.04M","11.58%"
"07/01/2002","2.954","3.240","3.285","2.760","983.70K","-8.97%"
"06/01/2002","3.245","3.230","3.580","3.050","937.99K","0.87%"
"05/01/2002","3.217","3.760","3.875","3.190","1.11M","-15.23%"
"04/01/2002","3.795","3.210","3.820","3.060","1.20M","15.60%"
"03/01/2002","3.283","2.359","3.560","2.335","1.15M","39.29%"
"02/01/2002","2.357","2.145","2.470","2.040","831.32K","10.24%"
"01/01/2002","2.138","2.550","2.551","1.850","848.17K","-16.81%"
